user_id_str,in_reply_to_screen_name,created_at,in_reply_to_status_id_str,in_reply_to_user_id_str,verified,location,geo_enabled,user_created_at,statuses_count,followers_count,favourites_count,user_lang,friends_count,country,place_type
300923469,NA,Wed Dec 07 10:09:14 +0000 2016,NA,NA,FALSE,NA,TRUE,Wed May 18 15:43:56 +0000 2011,182769,10383,5175,en,578,France,city
33469319,Fox35Danielle,Wed Dec 07 10:09:23 +0000 2016,NA,25900803,FALSE,"orlando, fl.",TRUE,Mon Apr 20 09:30:56 +0000 2009,33512,813,24348,en,2019,United States,city
295645957,gigasss1,Wed Dec 07 10:09:43 +0000 2016,8.06E+17,1405465332,FALSE,Planet“ MotoGP ”,TRUE,Mon May 09 12:28:26 +0000 2011,49893,1551,47710,ja,1462,<U+65E5><U+672C>,city
581001123,gogglebox0,Wed Dec 07 10:10:31 +0000 2016,8.06E+17,3315137943,FALSE,United Kingdom,TRUE,Tue May 15 14:04:55 +0000 2012,8970,537,46099,en,860,United Kingdom,admin
3420920555,NA,Wed Dec 07 10:10:34 +0000 2016,NA,NA,FALSE,"Molina de Segura,Murcia,España",TRUE,Thu Aug 13 20:50:03 +0000 2015,62088,1077,255856,es,263,España,city
2777104253,SamTWaiters,Wed Dec 07 10:10:55 +0000 2016,NA,446375019,FALSE,Newcastle Upon Tyne,TRUE,Fri Sep 19 21:34:19 +0000 2014,7518,1411,422,en,3147,United Kingdom,city
944949480,gangsta_cat1,Wed Dec 07 10:10:56 +0000 2016,8.06E+17,1318443114,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18382,13936,27944,en,1342,Spain,city
2507679270,stevetoddwqic,Wed Dec 07 10:11:01 +0000 2016,8.06E+17,380486541,FALSE,"Philadelphia, PA",TRUE,Mon May 19 15:18:41 +0000 2014,44113,4647,95194,en,4097,United States,admin
944949480,lee_ecclestone,Wed Dec 07 10:11:26 +0000 2016,8.06E+17,2992681199,FALSE,España,TRUE,Tue Nov 13 01:29:50 +0000 2012,18383,13936,27945,en,1342,Spain,city
3420920555,loredana_cal,Wed Dec 07 10:11:32 +0000 2016,8.06E+17,3417196835,FALSE,"Molina de Segura,Murcia,España",TRUE,Thu Aug 13 20:50:03 +0000 2015,62095,1077,255863,es,263,España,city
4567387397,NA,Wed Dec 07 10:12:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287767,142,0,en,4,Trinidad and Tobago,country
2878701780,NA,Wed Dec 07 10:12:10 +0000 2016,NA,NA,FALSE,"Zona Hotelera, Benito Juárez",TRUE,Sun Oct 26 21:29:15 +0000 2014,78848,43228,32441,en,42747,Mexico,city
43901213,FrankFerragine,Wed Dec 07 10:12:10 +0000 2016,8.06E+17,23591362,FALSE,Cochrane,TRUE,Mon Jun 01 15:16:28 +0000 2009,7552,298,3768,en,296,Canada,city
61017613,LegalBusinessUK,Wed Dec 07 10:12:23 +0000 2016,8.06E+17,397164282,FALSE,"London, England",TRUE,Tue Jul 28 21:00:03 +0000 2009,17038,20136,2504,en,3825,United Kingdom,city
1032248082,thecreativegeek,Wed Dec 07 10:12:38 +0000 2016,8.06E+17,15025529,FALSE,wales,TRUE,Mon Dec 24 08:54:24 +0000 2012,25150,1186,74042,en,1137,United Kingdom,city
2998701699,NA,Wed Dec 07 10:12:39 +0000 2016,NA,NA,FALSE,NA,TRUE,Sun Jan 25 22:16:02 +0000 2015,3585,479,5073,pt,366,Brasil,city
43901213,Tanya_Kim,Wed Dec 07 10:12:54 +0000 2016,NA,182861300,FALSE,Cochrane,TRUE,Mon Jun 01 15:16:28 +0000 2009,7553,298,3768,en,296,Canada,city
43901213,WinstonSih,Wed Dec 07 10:13:22 +0000 2016,NA,15969507,FALSE,Cochrane,TRUE,Mon Jun 01 15:16:28 +0000 2009,7554,298,3768,en,296,Canada,city
571098785,NA,Wed Dec 07 10:13:28 +0000 2016,NA,NA,FALSE,"Hannover, Niedersachsen",TRUE,Fri May 04 19:45:03 +0000 2012,1372,5722,1029,de,660,Kap Verde,country
594041947,NA,Wed Dec 07 10:13:29 +0000 2016,NA,NA,TRUE,"Columbus, OH",TRUE,Tue May 29 21:09:39 +0000 2012,4878,3303,1393,en,500,United States,city
43901213,citytammie,Wed Dec 07 10:13:54 +0000 2016,NA,98223561,FALSE,Cochrane,TRUE,Mon Jun 01 15:16:28 +0000 2009,7555,298,3768,en,296,Canada,city
156860144,NA,Wed Dec 07 10:14:53 +0000 2016,NA,NA,FALSE,Caracas.,TRUE,Fri Jun 18 04:02:32 +0000 2010,6116,165,206,es,221,España,city
4567387397,NA,Wed Dec 07 10:15:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287768,142,0,en,4,Grenada,country
4819451410,TheTideLevi,Wed Dec 07 10:15:02 +0000 2016,NA,3057625575,FALSE,rusher/tider,TRUE,Sat Jan 16 22:05:04 +0000 2016,19835,1332,18845,en,988,Chile,city
1514644766,Romarley,Wed Dec 07 10:15:14 +0000 2016,NA,25760828,FALSE,Argentina,TRUE,Thu Jun 13 22:37:11 +0000 2013,112114,756,126117,es,81,Argentina,city
7.86E+17,NA,Wed Dec 07 10:15:41 +0000 2016,NA,NA,FALSE,Strawberry Fields Forever,TRUE,Wed Oct 12 19:16:18 +0000 2016,7426,1445,4243,en,2767,United States,admin
102243250,NA,Wed Dec 07 10:16:02 +0000 2016,NA,NA,FALSE,Montreal,TRUE,Wed Jan 06 02:25:05 +0000 2010,38182,8593,9739,en,870,Canada,city
4567387397,NA,Wed Dec 07 10:16:03 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287771,142,0,en,4,Saint Lucia,country
4567387397,NA,Wed Dec 07 10:16:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287770,142,0,en,4,Brazil,city
155261618,NA,Wed Dec 07 10:16:08 +0000 2016,NA,NA,FALSE,Venezuela ,TRUE,Sun Jun 13 16:37:10 +0000 2010,26820,456,416,es,398,Venezuela,admin
7.25E+17,NA,Wed Dec 07 10:16:11 +0000 2016,NA,NA,FALSE,"Wales, United Kingdom",TRUE,Tue Apr 26 20:46:51 +0000 2016,2465,127,590,en,229,United Kingdom,city
